title,longitude,latitude,temporarilyClosed,totalScore,reviewsCount,categoryName,Dine in,Outdoor Seating
Perrine,-73.971722,40.7652072,true,4.2,,French restaurant,TRUE,
The Lobster Club,-73.9719473,40.7585383,true,4.4,,Japanese restaurant,TRUE,
Palette At BG,-73.9739928,40.7636243,true,4.3,,Restaurant,TRUE,
Davio's Northern Italian Steakhouse,-73.9746387,40.7530076,true,4.4,,Steak house,TRUE,TRUE
Empellon,-73.9747222,40.7597222,true,4.4,691,Restaurant,,
Brasserie 8 1/2,-73.975023,40.7637696,true,4.3,,French restaurant,TRUE,
The Modern,-73.976753,40.761081,true,4.6,,New American restaurant,TRUE,
The Bar Room,-73.9768318,40.7609475,true,4.7,35,Bar,,
Maggie's Place,-73.9771145,40.7562972,true,4.2,,Restaurant,TRUE,
Agern,-73.9772353,40.7527277,true,4.5,,Restaurant,TRUE,
21 Club,-73.9774216,40.7605396,true,4.4,,American restaurant,TRUE,
Southgate,-73.9780606,40.7662604,true,4.1,,American restaurant,TRUE,
Patina Restaurant Group,-73.9787369,40.7521234,true,4.7,3,Corporate office,,
Potbelly Sandwich Shop,-73.9793374,40.7589632,true,3.8,109,Sandwich shop,,
Black Tap,-73.9797627,40.7635483,true,4.4,,American restaurant,TRUE,
Norikoh,-73.9815975,40.7511429,true,4.2,,Asian fusion restaurant,TRUE,
The Stagecoach Tavern,-73.9817895,40.7634267,true,4.3,688,Irish pub,,
Basso56,-73.982685,40.7656094,true,4.5,463,Italian restaurant,,
Black Iron Burger,-73.98298,40.7669606,true,4.6,12,Hamburger restaurant,,
Pasta by Hudson,-73.98298,40.7669606,true,4.2,,Italian restaurant,TRUE,
Asiate,-73.9830036,40.7688396,true,4.2,,American restaurant,TRUE,
Ichiran Times Square,-73.9833054,40.7601361,true,4.6,,Ramen restaurant,TRUE,
Windfall,-73.983705,40.752465,true,4.3,185,Bar & grill,,
Junior's Restaurant and Bakery,-73.984011,40.7610605,true,4.4,,American restaurant,TRUE,
The Long Room,-73.9843398,40.7564107,true,4.3,,Pub,TRUE,
Potbelly Sandwich Shop,-73.9844547,40.7490649,true,4.3,422,Sandwich shop,,
Spyglass Rooftop Bar,-73.9847231,40.7520646,true,4.2,,Bar,TRUE,
LeGrande Lounge,-73.9847424,40.7607185,true,4.1,,Cocktail bar,TRUE,
The Little Beet,-73.9855411,40.7539547,true,4.3,60,Restaurant,,
Chopt Creative Salad Co.,-73.9858487,40.7482454,true,3.8,,Salad shop,,
Pokeworks,-73.9858963,40.7517314,true,4.3,,Restaurant,TRUE,
Foley's,-73.9863201,40.7482062,true,4.5,606,Bar,,
Friedman¡¯s At The Edison,-73.9863504,40.7596825,true,4.3,,American restaurant,TRUE,
Junior's Restaurant & Bakery,-73.9865621,40.7582077,true,4.4,,American restaurant,TRUE,TRUE
Carmine's Italian Restaurant,-73.986654,40.757498,true,4.5,,Italian restaurant,TRUE,
Junior¡¯s,-73.9867036,40.7583002,true,4.2,51,Restaurant,,
BATSU!,-73.9872202,40.7253512,true,4.7,209,Comedy club,,
Dirty French,-73.987285,40.721946,true,4.4,,French restaurant,TRUE,
The Clocktower,-73.987368,40.741295,true,4.5,495,British restaurant,,
Dig,-73.9874286,40.7534346,true,4.4,,American restaurant,TRUE,
The House,-73.9877486,40.7361399,true,4.4,,American restaurant,TRUE,
Dig,-73.9883569,40.7452688,true,4.4,,American restaurant,TRUE,TRUE
Just Salad,-73.9884828,40.7524124,true,4,160,Restaurant,,
Just Salad,-73.9885908,40.7506179,true,4.1,,Restaurant,TRUE,
Dave & Buster's,-73.988634,40.756536,true,4.2,,Sports bar,TRUE,
Sushi By Bae,-73.9887699,40.7346461,true,4.8,,Sushi restaurant,,
Nur,-73.9888053,40.7385478,true,4.3,,Middle Eastern restaurant,TRUE,
La Pizza Fresca Ristorante,-73.988895,40.739047,true,3.9,,Italian restaurant,TRUE,TRUE
Home's Kitchen,-73.9891381,40.7394389,true,4,,Chinese restaurant,TRUE,
Meet Noodles,-73.9892241,40.7310244,true,4.7,,Chinese noodle restaurant,TRUE,
Ben¡¯s Kosher Delicatessen Restaurant & Caterers,-73.9892345,40.7539654,true,4.2,1168,Kosher restaurant,,
Bar Milano by Eataly,-73.9896139,40.7421016,true,5,,Restaurant,,
Birdland Jazz Club,-73.9896861,40.7590167,true,4.7,1833,Jazz club,,
Dig,-73.9898149,40.7517621,true,4.5,,American restaurant,TRUE,
INDIAN PROJECT Restaurant & Bar,-73.9902341,40.7542906,true,4.3,,Indian restaurant,TRUE,
Hooters,-73.9907182,40.7502951,true,4,,American restaurant,TRUE,
Blue Maiz,-73.990727,40.7554318,true,4.5,,Mexican restaurant,TRUE,
Narcissa,-73.990739,40.727842,true,4.3,,New American restaurant,TRUE,
BRIGITTE,-73.9908333,40.7147222,true,4.5,,Restaurant,TRUE,
